"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio1.contribution","bio2.contribution","bio4.contribution","bio8.contribution","bio9.contribution","bio10.contribution","bio12.contribution","bio14.contribution","bio15.contribution","bio1.permutation.importance","bio2.permutation.importance","bio4.permutation.importance","bio8.permutation.importance","bio9.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","bio14.permutation.importance","bio15.permutation.importance","nsamp"
0.873217317073171,0.0242665853658536,0.00975609756097562,0.10280487804878,0.232443902439024,0.591195121951219,0.51984,25.261,6.21682,0.33526,15.60542,22.28348,0.57522,13.62402,15.57892,5.39234,9.16764,13.11134,1.01384,15.58108,32.54082,1.79304,8.77286,12.62702,204
0.884713205645161,0.0290130443548387,0.0127016129032258,0.102016129032258,0.284098387096774,0.655283870967742,0.73548,24.28672,8.53564,0.72306,17.29106,14.05828,0.7687,12.54798,21.05308,4.9768,9.9868,13.33694,0.58158,19.0857,25.71982,2.12,9.7336,14.45876,158
0.884721149425287,0.0174955172413793,0.0135632183908046,0.0882758620689655,0.269936781609195,0.591724137931035,0.04242,18.1751,7.92016,0.677,12.50268,30.60088,0.43544,14.03592,15.61042,0,10.9227,12.976,3.22564,16.92238,29.80058,0.2205,8.44726,17.48498,148
0.885890101565102,0.0204342574092574,0.00516150516150515,0.0826506826506826,0.126438494838495,0.618949317349317,0.70258,27.11092,4.6862,0.78372,16.81304,19.35284,0.83834,16.95158,12.76074,4.52288,12.05366,11.5817,2.86288,14.10874,30.82044,1.81012,12.12998,10.10954,388
0.893643983957219,0.037820953654189,0.0181818181818182,0.114616755793226,0.161318181818182,0.648583244206774,0.64146,17.7761,10.34686,0.88256,17.25136,20.16988,0.68656,11.76534,20.4799,6.43106,3.43516,17.1874,2.67104,20.85934,33.95814,1.31366,5.49448,8.64964,166
0.890906716772152,0.0156029667721519,0.00499999999999998,0.0801582278481013,0.0789,0.629741772151899,0.4158,22.16946,5.98702,0.5647,14.62932,21.27646,0.50308,16.43948,18.01462,2.14098,10.27328,11.00134,2.38752,16.53816,28.20744,1.26858,11.19986,16.98282,399
0.886096433254655,0.0240564332546551,0.00161290322580645,0.0758851298190401,0.0913870967741936,0.62701487018096,0.6598,23.30336,6.71764,0.61742,15.30094,18.00496,0.67052,15.03998,19.68544,4.16282,6.38028,12.33696,2.7237,16.76128,30.00716,1.83342,10.6192,15.1752,619
0.893183122519841,0.0148849975198413,0.003125,0.0753472222222222,0.074975,0.656552777777778,0.3576,26.26738,5.79952,0.45702,15.99828,19.41264,0.19092,17.43228,14.08428,1.77532,13.94152,11.56892,2.2599,18.36146,26.98886,0.6814,14.12044,10.30214,319
0.886289563492063,0.00806178571428571,0.0111111111111111,0.0893650793650794,0.305888888888889,0.619234920634921,0.21536,23.07634,6.90682,0.58126,16.89772,24.58888,0.48126,15.37334,11.87902,0.40436,9.02762,11.8676,2.04364,20.52486,29.64748,2.2289,10.71814,13.53736,179
0.883176513213981,0.0139817007672634,0.00873827791986359,0.0845694799658994,0.125061722080136,0.599130520034101,1.0829,20.66134,5.88892,0.66806,13.66304,21.70936,0.43932,16.2756,19.61144,9.52614,7.52996,12.95728,2.10628,8.7857,32.50926,1.10532,10.38582,15.09422,343
