"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"390",-97.55422,26.4024,225,284,154,674,140,20,53,269,95,177,113,95,39,5090,334,91,243,265,196
"391",-97.60485,27.18924,224,287,148,671,125,18,51,269,97,193,109,100,39,5445,340,84,256,267,161
"392",-97.24436,28.22997,216,284,136,929,161,34,43,344,144,273,155,108,39,5771,341,68,273,262,150
"393",-98.22274,28.40714,217,293,129,651,97,23,40,225,100,175,108,133,42,6322,366,51,315,265,146
"394",-97.42118,25.85196,232,288,165,689,147,22,56,292,93,179,109,97,41,4814,339,106,233,270,177
"395",-98.24769,27.70766,220,290,138,650,120,24,50,246,94,183,98,131,43,5929,361,62,299,264,149
"397",-98.29279,28.31822,215,289,128,646,98,24,41,225,100,177,105,134,42,6266,363,49,314,263,144
"398",-99.25843,26.88117,230,301,143,496,104,16,57,196,61,138,68,134,43,6162,375,66,309,275,161
"399",-99.38303,28.29293,219,297,130,557,84,23,45,210,76,152,79,138,43,6485,372,54,318,266,148
"400",-97.79274,27.13313,225,289,148,650,119,18,50,257,93,191,104,110,41,5505,348,82,266,267,162
"401",-98.27592,28.33445,215,289,127,652,98,24,41,227,100,178,106,133,42,6290,362,49,313,262,143
"402",-98.66976,27.38062,219,289,134,570,105,20,51,212,82,163,86,135,44,6018,362,57,305,263,151
"403",-98.68937,28.47116,215,292,125,596,88,22,42,212,86,167,90,141,43,6481,368,42,326,263,142
"404",-98.54895,29.22532,209,288,121,671,94,32,37,222,109,163,116,126,40,6517,357,48,309,258,131
"405",-98.61699,26.76226,225,292,144,576,109,18,52,223,80,164,89,130,44,5757,364,70,294,267,161
"406",-99.47838,27.54092,232,306,145,425,75,12,49,158,56,112,65,131,42,6298,378,70,308,279,164
"407",-99.50535,29.68407,189,269,99,690,90,31,36,230,102,206,102,135,41,6649,341,17,324,239,99
"408",-99.482,27.29955,235,308,148,473,99,12,60,196,52,124,62,133,42,6266,382,70,312,283,165
"409",-99.13462,29.82249,189,269,99,742,98,35,33,242,120,206,120,134,41,6597,341,20,321,228,99
"410",-98.96092,29.52336,197,276,109,737,99,38,33,250,125,198,127,130,41,6514,347,33,314,235,118
"411",-99.49398,27.43679,236,310,148,439,83,12,53,167,53,118,63,132,42,6329,383,71,312,285,166
"412",-98.3202,28.42239,217,292,127,635,95,23,41,218,97,174,103,135,42,6397,367,48,319,265,145
"413",-97.50407,26.49276,223,283,150,670,141,19,55,264,93,170,115,90,37,5182,329,89,240,264,193
"414",-99.20357,26.84772,228,299,142,502,103,16,57,198,62,142,69,132,42,6153,372,65,307,273,159
"415",-98.80074,26.38449,236,303,154,544,107,17,54,213,74,154,82,130,44,5810,377,82,295,278,174
"416",-99.11644,26.51463,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"417",-97.7445,26.68657,225,286,149,658,131,18,54,261,92,186,105,107,40,5346,345,83,262,266,195
"418",-97.91728,27.51786,224,291,146,673,117,23,46,263,101,198,108,118,42,5679,355,76,279,267,160
"419",-99.09558,26.52642,230,301,144,541,112,16,57,227,65,162,73,128,42,6116,373,72,301,274,162
"420",-97.8302,27.46489,224,291,147,674,115,22,46,264,102,200,111,113,41,5620,351,78,273,268,161
"421",-97.89811,27.52131,224,291,145,675,117,23,46,264,101,199,108,117,42,5680,353,75,278,267,160
"422",-99.57892,27.63191,230,306,143,452,88,14,55,183,55,123,60,133,42,6362,379,66,313,278,161
