"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio1.contribution","bio2.contribution","bio4.contribution","bio8.contribution","bio9.contribution","bio10.contribution","bio12.contribution","bio14.contribution","bio15.contribution","bio1.permutation.importance","bio2.permutation.importance","bio4.permutation.importance","bio8.permutation.importance","bio9.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","bio14.permutation.importance","bio15.permutation.importance","type","filter"
0.834458998975934,0.0183477086533538,0.0032258064516129,0.0836149513568869,0.0610741935483871,0.522085048643113,2.71162,47.76908,6.79384,0.87782,20.95644,2.85908,2.1784,12.24568,3.60798,0.43004,15.05636,18.30024,5.84144,21.39562,21.09992,3.6342,9.13798,5.10418,"100","pca2"
0.833218855606759,0.0331756605222735,0.00317460317460319,0.11884280593958,0.0543253968253969,0.50425719406042,2.7273,46.38552,7.22906,0.80964,20.774,3.543,1.92658,12.9052,3.69968,1.88996,15.94958,18.61478,4.15056,19.60792,22.35052,3.00452,9.00458,5.42762,"100","pca2"
0.834699116743472,0.0207391167434716,0.0032258064516129,0.0966205837173579,0.0556741935483871,0.517579416282642,1.30044,47.50726,7.09224,0.76034,21.03612,4.62176,2.12384,12.3219,3.23612,0.04274,16.14128,18.47052,5.04146,21.5544,21.28196,2.8763,9.70232,4.88904,"100","pca2"
0.831684459805427,0.0164874756784434,0.0064516129032258,0.106093189964158,0.0693483870967742,0.515006810035842,2.06332,46.93428,7.22172,1.29284,20.33958,4.75654,1.982,12.11674,3.293,0.98024,14.55014,18.0327,4.9087,21.03414,22.47378,3.04152,10.11606,4.8627,"100","pca2"
0.834654953917051,0.0301114976958526,0.0032258064516129,0.0900153609831029,0.0624741935483871,0.522984639016897,2.76634,47.03824,7.35092,0.87382,20.71698,3.4254,2.39276,12.04706,3.38846,1.4298,15.27458,18.71812,5.53314,21.5544,20.52704,2.8248,9.00094,5.13716,"100","pca2"
0.833050409626216,0.0246481515616999,0.0032258064516129,0.0867383512544803,0.0605741935483871,0.51596164874552,1.90444,47.1721,7.11094,0.90422,20.59292,4.07258,2.5551,12.18336,3.50438,1.85064,13.79194,19.01888,4.7573,21.51842,20.77846,3.2992,9.1871,5.79806,"100","pca2"
0.8329476062468,0.0319965873015873,0.00634920634920635,0.102918586789555,0.0687507936507937,0.518381413210445,2.17328,46.68538,7.7551,1.02428,20.8425,3.52188,1.99098,12.77214,3.23446,0.81982,16.14798,18.477,4.6447,21.1584,21.30312,3.15054,9.1886,5.10982,"100","pca2"
0.831169751664106,0.0173413645673323,0.0032258064516129,0.103072196620584,0.0577741935483871,0.512101996927803,3.67818,47.15288,6.95728,0.8107,21.1417,1.9991,1.65002,13.28724,3.32286,0.02458,17.37842,18.9797,4.55792,20.27636,20.62984,2.57564,10.60328,4.97426,"100","pca2"
0.830709395801331,0.0297158474142345,0.0032258064516129,0.106246799795187,0.0546741935483871,0.514153200204813,2.3586,47.04088,7.1599,0.99074,21.21484,3.54946,2.11548,12.35486,3.21528,2.36048,16.61546,17.71238,5.75576,21.4278,18.97478,2.9564,9.44828,4.74868,"100","pca2"
0.834382066052227,0.0310227112135177,0.0032258064516129,0.102969790066564,0.056474193548387,0.513830209933436,1.54708,47.25448,7.46062,1.05746,20.60162,4.7513,2.54062,11.51812,3.26874,0.66394,14.5984,18.49978,4.9347,21.73466,21.54546,3.12616,9.52936,5.36754,"100","pca2"
0.829897759856631,0.0180125985663083,0.00317460317460319,0.102764976958525,0.0500253968253968,0.517935023041475,3.23896,46.2242,6.83312,0.84728,20.9335,3.25654,2.30606,12.59782,3.7625,0.74872,16.27512,18.1849,5.16664,20.70148,22.47902,2.5017,8.84712,5.09524,"100","pca2"
0.83371386328725,0.0230503302611367,0.0032258064516129,0.0963645673323093,0.0537741935483871,0.519735432667691,3.53886,47.5372,6.85256,0.8163,21.03116,2.66094,2.00172,12.21896,3.34232,2.80942,13.42672,17.69484,4.51636,20.56152,21.48382,3.47004,9.97442,6.06296,"100","pca2"
0.835113620071685,0.0118607168458781,0.0032258064516129,0.096415770609319,0.0560741935483871,0.511884229390681,1.93136,46.90594,7.51618,0.8811,20.1912,4.39792,2.2316,12.23072,3.71402,1.37816,15.81594,18.13246,5.42868,20.02956,21.86676,3.21906,8.91982,5.20956,"100","pca2"
0.833990143369176,0.0185930465949821,0.0032258064516129,0.0965693804403482,0.0612741935483871,0.518230619559652,1.36964,47.12736,7.34698,1.04936,20.38764,4.76644,2.36914,12.07828,3.50516,2.53544,14.9287,18.51574,4.42444,19.41958,22.3877,3.48758,8.03406,6.26678,"100","pca2"
0.833064823348694,0.0269964362519201,0.0032258064516129,0.106195596518177,0.0591741935483871,0.512704403481823,3.15114,46.52342,7.05128,0.88978,20.46406,3.08216,2.28702,13.07254,3.47866,1.2523,15.04684,19.1891,5.12454,20.42298,22.69256,3.05508,8.44998,4.7666,"100","pca2"
