"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio15.contribution","bio17.contribution","bio18.contribution","bio19.contribution","bio3.contribution","bio6.contribution","bio7.contribution","bio10.contribution","bio12.contribution","bio15.permutation.importance","bio17.permutation.importance","bio18.permutation.importance","bio19.permutation.importance","bio3.permutation.importance","bio6.permutation.importance","bio7.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","type","filter"
0.837697695079014,0.0558376950790142,0.00145278450363195,0.100183645062053,0.00294721549636803,0.499016354937947,10.07028,4.59262,12.90684,5.45252,0.50516,25.16456,14.05638,1.27876,25.97282,1.18572,11.32134,3.79046,0.46438,1.16662,30.71516,15.7547,4.38436,31.2172,"100","pca3"
0.838068609268812,0.056348609268812,0.000484261501210659,0.102631855984841,0.00341573849878931,0.497083882513949,9.706,4.97,13.26936,5.84932,0.50196,25.98452,13.2393,1.19492,25.28466,1.31364,11.40408,3.98556,0.56788,1.23924,29.78486,15.80456,4.41106,31.48914,"100","pca3"
0.83739679820098,0.0554567982009802,0.000484261501210659,0.100197681627306,0.00331573849878932,0.501102318372694,9.97864,4.73546,12.35378,6.28744,0.5647,25.91014,13.6355,1.4611,25.07328,1.22216,11.42564,3.79516,0.5206,1.14082,29.71434,16.07418,4.3218,31.78538,"100","pca3"
0.837715153349475,0.0559951533494754,0.000484261501210659,0.101170883484811,0.00331573849878932,0.498929116515189,10.2191,4.6815,12.71924,5.83336,0.55872,25.43796,13.46114,1.292,25.797,1.30042,11.03802,3.94272,0.54802,1.30874,30.68492,15.58802,4.32438,31.26472,"100","pca3"
0.838055664923793,0.0562756649237931,0.000483091787439616,0.0997028927021558,0.00321690821256033,0.499297107297844,10.60664,4.47932,12.84298,5.56716,0.53518,25.08274,14.4274,1.53778,24.92076,1.47722,11.49132,4.007,0.49816,1.24962,29.86588,15.88718,4.08392,31.4397,"100","pca3"
0.837567074604344,0.0557670746043443,0.000484261501210659,0.105039126925641,0.00341573849878931,0.495360873074359,9.54648,4.92568,12.95986,6.15416,0.56758,25.93636,13.90838,1.2164,24.78508,1.39748,11.19138,3.9376,0.43426,1.29106,30.26478,15.73072,4.2398,31.51292,"100","pca3"
0.837457723327602,0.0555377233276017,0.000484261501210659,0.101163865202185,0.00331573849878928,0.497636134797815,10.39276,4.7547,12.7953,5.8193,0.49312,25.77474,13.22136,1.2834,25.46532,1.2371,11.48424,3.82852,0.62814,1.26046,30.27142,15.71936,4.3663,31.20448,"100","pca3"
0.838050803885789,0.0562508038857892,0.000484261501210659,0.0987390485548187,0.00361573849878929,0.502460951445181,10.21786,5.00168,13.53484,5.69534,0.594,25.3951,13.44708,1.18022,24.93382,1.48968,11.62262,3.51152,0.6268,1.12274,29.86208,15.99528,4.38488,31.3844,"100","pca3"
0.838274388824555,0.0565343888245546,0.000484261501210659,0.100201190768619,0.0035157384987893,0.499146024727749,9.00768,5.01956,12.5167,5.6226,0.70462,24.75404,14.7513,1.59262,26.03086,1.16878,11.12564,3.89624,0.57868,1.2433,30.40684,15.94288,4.3267,31.31092,"100","pca3"
0.83750637903405,0.0556263790340504,0.000484261501210659,0.103584002994467,0.00341573849878931,0.496731735504322,10.7213,4.81672,13.04072,6.03466,0.43476,25.5939,13.98714,1.18406,24.18674,1.14778,11.3004,3.69942,0.50994,1.30074,29.69082,15.77542,4.18612,32.3894,"100","pca3"
0.838053009673533,0.0562530096735329,0.000484261501210659,0.105039126925641,0.00361573849878933,0.495876611573148,10.07686,4.71312,12.91652,5.7932,0.43374,25.9876,13.91878,1.1763,24.9838,1.20592,11.3422,3.61504,0.47426,1.31104,30.51916,15.93636,3.9832,31.6128,"100","pca3"
0.838266952076827,0.0563669520768268,0.000484261501210659,0.100207039337474,0.0031157384987893,0.499892960662526,9.76874,5.06322,13.21868,6.31642,0.46988,25.84638,13.46446,1.14598,24.70624,1.23714,11.28768,3.77256,0.48548,1.2018,30.59618,15.67708,4.51926,31.22282,"100","pca3"
0.837709956603619,0.0558099566036191,0.000484261501210659,0.103102080920799,0.00361573849878929,0.499697919079201,9.47284,4.97076,12.63328,6.07588,0.50314,25.82648,13.60218,1.40084,25.51466,1.22622,11.58386,3.9257,0.40676,1.07582,29.91908,15.92434,4.16112,31.7771,"100","pca3"
0.8373991569288,0.0555391569287995,0.000484261501210659,0.10114748920939,0.00341573849878927,0.50005251079061,9.3287,5.04468,13.56834,5.7872,0.55888,25.33908,13.6947,1.44106,25.23736,1.25312,11.27844,3.7064,0.61428,1.13352,30.90188,15.3531,4.02534,31.73396,"100","pca3"
0.838179595512978,0.056339595512978,0.000484261501210659,0.0992326677661976,0.0035157384987893,0.501467332233802,9.21616,4.9356,12.30604,5.70556,0.4913,25.44944,14.25242,1.96028,25.6832,1.36694,11.43676,3.82974,0.4371,1.21258,29.9998,15.85602,4.41892,31.44216,"100","pca3"
0.837633482471839,0.0557934824718391,0.000484261501210659,0.101163865202185,0.00351573849878934,0.498451873296604,9.6006,4.89692,13.33214,5.4549,0.47404,25.3925,14.29434,1.60154,24.95298,1.27004,11.20366,3.7604,0.51474,1.16582,29.98202,15.8561,4.34034,31.90688,"100","pca3"
0.837869234773251,0.056049234773251,0.000483091787439616,0.0972932823338129,0.0035169082125603,0.500106717666187,9.34058,5.2593,13.39814,5.83262,0.57708,25.5001,13.42778,1.3789,25.2855,1.22124,10.6863,3.832,0.6235,1.28818,30.54962,15.77338,4.29022,31.73556,"100","pca3"
0.837744181551274,0.0559841815512744,0.000484261501210659,0.0997017229883847,0.00371573849878928,0.500515185224176,10.2114,4.85482,12.49366,5.7482,0.58686,25.20496,13.84916,1.51616,25.53478,1.34346,11.44566,3.88624,0.50566,1.26356,30.15892,15.84414,4.0082,31.5442,"100","pca3"
0.838021624498485,0.0562616244984852,0.000484261501210659,0.101635259851914,0.00331573849878928,0.497464740148086,9.46184,5.20678,12.7175,6.03496,0.44504,26.05562,13.839,1.3006,24.93864,1.14494,11.4612,3.99946,0.51506,1.14534,29.80532,15.90814,4.27658,31.74396,"100","pca3"
0.837673091611983,0.0558330916119826,0.000968523002421318,0.103107929489654,0.00293147699757867,0.500692070510346,9.11584,4.86204,12.58918,5.66822,0.47262,25.5282,15.16618,1.43894,25.1588,1.27806,11.34848,3.6585,0.4906,1.19014,29.9914,15.81528,4.22222,32.00532,"100","pca3"
0.837701349557263,0.0558413495572633,0.000483091787439616,0.101666842123732,0.00381690821256035,0.496733157876268,10.031,4.97026,12.80826,5.93328,0.50718,24.79112,14.14574,1.3257,25.48744,1.23002,11.0097,3.52238,0.57222,1.10992,30.6544,15.91164,4.41908,31.57066,"100","pca3"
0.838072642149466,0.056292642149466,0.000484261501210659,0.103586342422009,0.00331573849878928,0.496013657577991,9.91016,4.83948,12.70062,6.2176,0.55706,26.32054,13.58384,1.33924,24.53144,1.25086,11.16462,3.67404,0.65954,1.26068,30.53038,15.57334,4.18558,31.70096,"100","pca3"
