"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio_2.contribution","bio_4.contribution","bio_6.contribution","bio_10.contribution","bio_13.contribution","bio_14.contribution","bio_18.contribution","bio_2.permutation.importance","bio_4.permutation.importance","bio_6.permutation.importance","bio_10.permutation.importance","bio_13.permutation.importance","bio_14.permutation.importance","bio_18.permutation.importance","type","filter"
0.883535,0.038195,0.02,0.18,0.6004,0.5983,64.2801,0.08678,2.32652,0.35672,0.73096,11.71596,20.50302,27.48408,1.32154,1.6018,1.70844,12.90762,16.02244,38.95408,"100","pca2"
0.88433,0.02958,0.04,0.2,0.5752,0.5809,63.93314,0.04694,2.7965,0.34132,0.71402,11.30706,20.86106,25.59886,0.80596,0.48572,0.77044,11.81266,19.64042,40.88592,"100","pca2"
0.883855,0.040825,0.02,0.16,0.5958,0.6051,64.56868,0.00366,2.20602,0.3451,0.75828,11.31516,20.80312,23.45374,0,1.08228,0.43084,11.9185,19.02432,44.09032,"100","pca2"
0.88229,0.04193,0.02,0.18,0.5935,0.5872,64.22248,0.03332,2.32598,0.3395,0.77014,11.73958,20.569,26.40582,1.96494,1.19012,2.3329,12.74996,15.16216,40.1941,"100","pca2"
0.891665,0.011035,0.02,0.12,0.5935,0.6573,64.73192,0.06678,2.62984,0.32678,0.73298,11.2985,20.21322,25.74428,0.37526,1.0389,0.88106,12.08744,17.74918,42.1239,"100","pca2"
0.88686,0.02132,0.02,0.12,0.5865,0.6484,64.32586,0.05596,2.35648,0.3245,0.82758,11.31938,20.79018,24.7387,0.19976,0.3553,0.40762,11.29612,15.69238,47.31014,"100","pca2"
0.87972,0.0339,0.02,0.22,0.593,0.5534,63.82554,0.0297,3.15706,0.43954,0.73868,11.39294,20.4165,24.49744,0.83776,0.2745,2.33908,11.28238,17.58798,43.18088,"100","pca2"
0.880585,0.039695,0.02,0.14,0.5855,0.6348,63.11298,0.1138,3.38164,0.42498,0.88128,11.46846,20.61688,26.7081,2.23814,0.7194,0.5812,11.59132,17.28264,40.87914,"100","pca2"
0.88608,0.03798,0.02,0.14,0.6051,0.6403,63.69472,0.10532,2.51628,0.41222,0.71556,11.88156,20.67438,29.20392,2.16526,0.4373,2.36132,10.87156,14.06374,40.89694,"100","pca2"
0.882995,0.026305,0.02,0.14,0.5924,0.6255,63.92016,0.07948,2.69,0.29698,0.79404,11.41248,20.80686,26.82308,1.35554,0.7724,1.21778,10.41028,15.64748,43.77344,"100","pca2"
0.87584,0.04662,0.02,0.22,0.593,0.5561,63.94404,0.063,2.57648,0.35246,0.73312,11.63234,20.6986,27.30928,0.727,0.17024,1.4049,11.80598,16.1502,42.43238,"100","pca2"
0.879945,0.028505,0.02,0.16,0.5976,0.6136,64.01064,0.07754,2.44134,0.3345,0.65118,11.97484,20.50992,30.06152,1.19628,0.77666,1.38788,9.9056,16.7999,39.87216,"100","pca2"
0.88563,0.04469,0.02,0.18,0.5969,0.6033,64.53818,0.0417,2.19756,0.3171,0.67328,11.67094,20.56132,26.501,0.66104,0.2143,0.13606,13.64322,17.36878,41.47558,"100","pca2"
0.86941,0.05369,0.02,0.26,0.5758,0.5173,63.65198,0.02154,2.97368,0.33212,0.74014,11.69378,20.58674,25.97674,1.45274,1.2381,0.2229,13.1523,14.725,43.2322,"100","pca2"
0.883155,0.031205,0.04,0.16,0.5687,0.6071,64.33786,0.03024,2.46224,0.41252,0.61482,11.58238,20.55996,22.82328,0.1351,0.97912,1.28716,13.89774,16.54134,44.3363,"100","pca2"
0.887085,0.033395,0.02,0.2,0.5794,0.58,63.94896,0.04234,2.80792,0.3979,0.6347,11.41714,20.75102,26.94674,2.4322,1.57854,3.16284,9.15656,17.6575,39.06558,"100","pca2"
0.88333,0.01737,0.02,0.2,0.5771,0.5688,64.0002,0.22586,2.88232,0.22788,0.70728,11.73738,20.21906,26.11596,1.22648,0.83732,0.96332,10.88654,15.9664,44.00396,"100","pca2"
0.88174,0.03186,0.06,0.2,0.5511,0.5503,64.48288,0.0437,2.20214,0.35548,0.72716,11.70434,20.48432,26.3237,0.5177,0.24066,1.0878,13.44102,14.70534,43.68378,"100","pca2"
0.88296,0.0317,0.02,0.18,0.5923,0.602,63.3551,0.16582,3.50804,0.28236,0.74868,11.44378,20.49626,26.37434,1.45528,0.23514,1.02422,10.9578,20.53536,39.41792,"100","pca2"
0.87292,0.02288,0.04,0.18,0.5661,0.5825,64.4494,0.05778,2.23666,0.32424,0.77554,11.41532,20.74106,23.51136,0.9883,1.77424,2.0969,13.2289,16.49052,41.9098,"100","pca2"
0.88875,0.04605,0.02,0.18,0.5878,0.5948,63.95984,0.04758,2.43654,0.36824,0.74564,11.4838,20.95832,28.23678,1.79534,0.61994,1.26562,12.31788,15.65278,40.1116,"100","pca2"
0.89213,0.02801,0.02,0.12,0.5971,0.653,64.46672,0.01768,2.57006,0.33474,0.72338,11.609,20.27842,24.75976,0.32358,0.7978,1.679,11.47238,16.89602,44.07142,"100","pca2"
0.87909,0.04635,0.02,0.14,0.5975,0.623,64.01798,0.10374,2.55614,0.37818,0.65988,11.44594,20.83814,27.45064,2.1084,1.55452,2.42144,9.61534,16.91996,39.92968,"100","pca2"
0.8907,0.02098,0.02,0.14,0.5895,0.6349,64.36692,0.04036,2.32242,0.36538,0.61558,11.67288,20.61648,29.47956,1.30286,0.3228,0.07264,9.30846,18.69956,40.81406,"100","pca2"
0.88602,0.03978,0.02,0.16,0.5942,0.6222,64.27224,0.06126,2.27066,0.38802,0.69678,11.82046,20.49058,27.08704,1.12308,0.46552,0.91356,12.65558,16.40452,41.3507,"100","pca2"
0.8767,0.03058,0.04,0.16,0.5688,0.6038,63.90736,0.0254,2.66046,0.3209,0.6867,11.58058,20.8186,25.04396,1.35226,1.64906,0.44164,11.5257,19.27652,40.71088,"100","pca2"
0.891475,0.026605,0.04,0.16,0.572,0.6177,64.63964,0.06194,2.3382,0.33796,0.5775,11.90786,20.13686,24.05942,0.28772,0.03774,0.90554,12.67806,18.40162,43.62988,"100","pca2"
0.878805,0.047955,0.02,0.16,0.5916,0.6054,64.154,0.08618,2.50144,0.34934,0.68614,11.55716,20.66572,24.48584,2.62306,0.75846,1.11188,13.55518,16.41506,41.05054,"100","pca2"
0.87842,0.03972,0.06,0.14,0.5573,0.6227,63.93654,0.03264,2.22014,0.3026,0.87776,11.96384,20.66654,32.43782,0.16118,0.33922,0.09496,13.94638,15.58638,37.43408,"100","pca2"
0.87898,0.02232,0.02,0.22,0.5787,0.5679,63.78904,0.08902,3.34164,0.35726,0.58318,11.28088,20.559,28.0273,2.08168,1.12526,1.52642,12.60406,14.52898,40.10634,"100","pca2"
0.88941,0.03199,0.04,0.12,0.5645,0.6518,64.0779,0.08374,2.8159,0.33746,0.7356,11.58706,20.36234,26.74688,0.6215,1.05574,0.5225,12.65084,17.8372,40.56538,"100","pca2"
0.88035,0.02073,0.02,0.22,0.5912,0.5568,63.51618,0.032,3.32842,0.27628,0.74136,11.36188,20.74386,27.09734,0.59256,0.80386,0.42428,12.27086,17.626,41.18514,"100","pca2"
0.887,0.02058,0.02,0.14,0.5626,0.6313,64.24474,0.05884,2.6514,0.3391,0.61332,11.54266,20.54994,29.59224,1.47092,0.83208,0.18978,11.2856,12.37674,44.25264,"100","pca2"
0.863545,0.049815,0.04,0.18,0.561,0.5709,64.07698,0.01328,2.36058,0.27718,0.64352,11.50658,21.12192,26.75396,0.6836,0.03362,0.46194,11.20748,20.3549,40.50446,"100","pca2"
0.87657,0.04275,0.06,0.2,0.564,0.5707,63.17084,0.06684,3.6024,0.31752,0.62164,11.37118,20.84956,27.89872,1.15654,1.3108,1.23084,11.32976,18.65854,38.41476,"100","pca2"
0.883415,0.039325,0.02,0.2,0.598,0.571,63.51648,0.04288,3.14264,0.32522,0.80044,11.29846,20.8739,28.45424,2.27492,1.69102,1.58372,11.89084,17.00684,37.09842,"100","pca2"
0.8935,0.03286,0.04,0.12,0.5722,0.6566,64.5062,0.04504,2.40206,0.28806,0.64024,11.6887,20.42972,27.192,1.75786,0.92396,2.88444,12.17156,16.17048,38.89966,"100","pca2"
0.8782,0.04658,0.02,0.18,0.5884,0.5876,63.71586,0.08048,2.38592,0.28314,0.86478,11.26242,21.40738,26.08404,1.07122,1.1858,0.91492,12.44872,17.20346,41.09182,"100","pca2"
0.885645,0.038495,0.02,0.12,0.5838,0.643,63.53092,0.14524,2.9657,0.30312,0.74958,11.76322,20.54218,26.99192,0.09132,0.31158,0.32906,10.7732,19.37292,42.13002,"100","pca2"
0.86303,0.03359,0.02,0.22,0.5888,0.5416,63.50562,0.05348,2.73038,0.30022,0.79756,11.61426,20.99852,27.02118,0.22458,1.37528,0.8635,14.77298,16.62978,39.11274,"100","pca2"
0.883505,0.027655,0.02,0.18,0.5824,0.5995,64.52546,0.0701,2.37416,0.3846,0.74834,11.61286,20.28448,24.61534,1.40446,0.49488,1.07602,11.00508,19.91184,41.49238,"100","pca2"
0.891385,0.031965,0.02,0.16,0.597,0.6157,64.67334,0.0121,2.46168,0.27974,0.673,11.3308,20.56936,28.71222,0.77688,0.98434,0.49936,11.54974,16.89688,40.5806,"100","pca2"
0.88556,0.02356,0.04,0.16,0.5636,0.6187,64.28484,0.02732,2.45364,0.28184,0.75266,11.54826,20.65144,24.93544,0.5085,0.28692,1.10298,13.21772,16.62582,43.32262,"100","pca2"
0.891345,0.037075,0.06,0.14,0.5475,0.6335,64.86906,0.08138,2.08696,0.35912,0.6625,11.40566,20.53536,23.82242,2.3574,1.00542,1.85994,9.1007,16.67078,45.18332,"100","pca2"
0.88727,0.01995,0.02,0.12,0.5836,0.6546,64.40828,0.04312,2.42156,0.33958,0.71984,11.62666,20.44092,28.17586,0.12004,0.14906,0.68698,9.22728,17.31962,44.32114,"100","pca2"
0.887375,0.015335,0.02,0.16,0.5925,0.6134,64.59518,0.05086,2.50572,0.32604,0.66682,11.25598,20.5994,25.84378,0.1475,0.31366,0.04434,12.24572,15.74104,45.66394,"100","pca2"
0.886735,0.034575,0.02,0.18,0.5919,0.6011,64.5978,0.0479,2.2254,0.3756,0.6484,11.97088,20.13404,27.91084,0.08044,0.30548,0.0705,10.76876,15.48054,45.38342,"100","pca2"
0.87851,0.03959,0.02,0.14,0.5922,0.6401,63.70576,0.10134,3.05634,0.26428,0.64016,11.74576,20.48636,26.23964,1.58318,0.29566,1.16318,12.01358,20.18362,38.52118,"100","pca2"
0.862035,0.044985,0.02,0.24,0.6013,0.5249,63.47174,0.05148,2.833,0.3321,0.81532,11.67936,20.81702,27.78678,2.69892,1.32428,0.71472,10.72384,16.42682,40.32468,"100","pca2"
0.89455,0.02915,0.02,0.08,0.5853,0.6902,64.61766,0.0583,2.28526,0.35604,0.60358,11.51022,20.5689,25.95604,1.23064,0.16462,2.38896,10.10342,18.78848,41.36784,"100","pca2"
0.86604,0.0404,0.02,0.18,0.5799,0.5686,63.34622,0.0674,3.0711,0.29488,0.9007,11.08766,21.23204,29.39208,0.7442,0.47152,1.63852,15.53132,16.4346,35.78778,"100","pca2"
0.86872,0.04674,0.02,0.24,0.6036,0.5422,63.46232,0.15744,3.15888,0.27748,0.7533,11.44648,20.74406,25.9305,1.30248,0.82236,1.34234,11.36856,14.70106,44.5327,"100","pca2"
0.87684,0.0331,0.04,0.2,0.5468,0.5774,64.11514,0.0495,2.27752,0.34972,0.79726,11.70842,20.70242,27.03114,1.00538,0.50852,0.6639,13.2756,19.0775,38.43792,"100","pca2"
0.87681,0.03671,0.02,0.22,0.5795,0.5611,63.86946,0.05144,2.48906,0.33022,0.73652,11.74958,20.7737,27.09276,1.03638,0.25442,1.25022,13.24292,18.53672,38.58658,"100","pca2"
0.89093,0.02273,0.04,0.16,0.5676,0.617,64.18144,0.01102,2.71222,0.34302,0.68314,11.53264,20.5365,25.1191,0.13492,0.20718,0.2936,11.81606,16.27152,46.1576,"100","pca2"
0.87802,0.02602,0.02,0.14,0.5962,0.6166,63.86802,0.05456,2.67686,0.37158,0.72126,11.6152,20.69252,28.38704,0.79646,0.66358,1.59922,10.57478,15.90246,42.07644,"100","pca2"
0.886685,0.028815,0.02,0.12,0.6009,0.6509,63.87926,0.0379,2.7812,0.31428,0.81938,11.46106,20.70692,28.63686,1.63,0.55694,1.1302,12.9307,16.51864,38.59664,"100","pca2"
0.884285,0.035775,0.02,0.14,0.6035,0.637,64.23152,0.0942,2.67686,0.43854,0.56084,11.45752,20.54056,28.62538,1.30496,0.25742,0.7387,9.74428,20.94252,38.38672,"100","pca2"
0.88601,0.03657,0.04,0.18,0.5796,0.5932,63.87434,0.05592,2.89758,0.30472,0.67364,11.50018,20.69366,29.76794,0.39142,0.00798,0.1821,12.01794,16.63484,40.99776,"100","pca2"
0.89313,0.03285,0.04,0.14,0.5647,0.638,64.3697,0.04836,2.54746,0.32358,0.63502,11.60014,20.47576,27.31516,0.8169,0.37572,0.95226,10.4718,20.02068,40.04744,"100","pca2"
0.89122,0.03292,0.02,0.14,0.5923,0.634,64.72612,0.11288,2.0539,0.4186,0.60242,11.81762,20.26846,27.9144,1.76312,0.40528,1.10846,12.18646,17.939,38.68328,"100","pca2"
0.87971,0.0399,0.02,0.2,0.5743,0.5675,64.25658,0.04502,2.3327,0.3163,0.74794,11.4437,20.8578,30.21228,0,0.36508,0.5875,12.5718,21.16992,35.0934,"100","pca2"
0.88807,0.03491,0.02,0.18,0.593,0.5984,64.53004,0.15406,2.08902,0.31526,0.70924,12.03056,20.1718,27.9697,2.2012,1.21984,1.29444,10.92856,19.74012,36.64616,"100","pca2"
0.88442,0.01308,0.02,0.12,0.5949,0.6249,64.26784,0.06044,2.50348,0.3487,0.74546,11.49606,20.57804,26.33696,0.70226,1.15874,0.91542,11.2586,19.42038,40.20764,"100","pca2"
0.887955,0.027265,0.02,0.2,0.5898,0.5784,64.12106,0.03334,2.98334,0.31802,0.69314,11.29272,20.5584,27.30542,1.19476,0.83304,0.98722,10.03536,17.40582,42.23836,"100","pca2"
0.88931,0.01955,0.02,0.16,0.5981,0.613,64.07908,0.08316,2.8671,0.35534,0.63134,11.39836,20.58562,30.26446,2.0983,1.40488,0.34484,10.79664,17.274,37.81686,"100","pca2"
0.88728,0.01736,0.04,0.14,0.5722,0.6363,64.44078,0.0877,2.45892,0.34072,0.64298,11.74188,20.28708,27.56594,1.9466,1.48448,0.42318,10.73078,15.53298,42.31608,"100","pca2"
0.882155,0.031725,0.04,0.2,0.5713,0.5706,64.379,0.07368,2.44274,0.29216,0.5921,11.74096,20.47936,28.74048,2.30484,1.0782,2.52732,10.55926,17.8,36.98994,"100","pca2"
0.889495,0.017245,0.02,0.16,0.596,0.6168,64.32164,0.06902,2.62644,0.39438,0.69178,11.54544,20.3513,24.18606,1.27938,0.47374,1.09426,13.14064,17.93734,41.88858,"100","pca2"
0.87266,0.02394,0.02,0.26,0.5893,0.519,63.29046,0.02944,3.50108,0.3126,0.61054,11.56824,20.68758,28.81656,0.89304,0.67854,1.76576,13.0529,15.0532,39.73998,"100","pca2"
0.88589,0.03663,0.06,0.16,0.5484,0.6173,64.58282,0.03,2.21156,0.33178,0.68718,11.8533,20.30342,27.8637,0.35482,0.58072,0.8823,11.43594,18.42932,40.45318,"100","pca2"
0.87288,0.02871,0.02,0.22,0.5959,0.553,63.8802,0.0298,3.14424,0.33086,0.46772,11.57508,20.57214,26.943,0.4246,0.38686,0.53386,12.5008,17.74672,41.46416,"100","pca2"
0.873143888888889,0.0303738888888889,0.0222222222222222,0.184444444444444,0.590177777777778,0.588655555555556,59.93212,0.08708,2.94306,0.44474,0.90814,12.9449,22.73998,24.86598,3.46216,0.8124,1.34346,10.89026,17.99176,40.63396,"75","pca2"
0.881743333333333,0.0511366666666667,0.0222222222222222,0.122222222222222,0.600777777777778,0.643377777777778,60.15894,0.05768,2.67036,0.4091,0.97446,13.16186,22.56756,22.31158,3.03832,1.10452,2.9176,13.14478,20.14522,37.33796,"75","pca2"
0.875032222222222,0.0285122222222222,0.02,0.142222222222222,0.5878,0.625177777777778,59.15624,0.30878,3.80854,0.41614,0.93324,12.59344,22.7836,21.07872,7.14172,1.64134,2.46314,10.56542,17.96846,39.14116,"75","pca2"
0.876742222222222,0.0538377777777778,0.02,0.124444444444444,0.5985,0.644455555555556,59.09748,0.28388,3.78604,0.39878,0.90916,12.78756,22.73712,25.38922,4.3254,1.7014,1.82048,12.67128,17.06354,37.02864,"75","pca2"
0.878339444444444,0.0353394444444444,0.06,0.14,0.5427,0.6332,60.00122,0.14478,3.13926,0.3499,0.91314,12.79226,22.65948,22.71274,3.1406,1.74536,2.76544,11.8597,14.07146,43.7047,"75","pca2"
0.888002777777778,0.0259527777777778,0.02,0.08,0.5942,0.6898,60.3982,0.03602,2.80686,0.34446,0.8227,12.82286,22.7689,21.28138,3.70766,0.92494,0.62918,12.91804,21.62574,38.91304,"75","pca2"
0.881898888888889,0.0299588888888889,0.04,0.142222222222222,0.5869,0.639277777777778,60.76444,0.06302,2.108,0.37162,0.95298,13.27632,22.4636,27.12424,1.13068,1.28944,1.3107,12.62582,20.59646,35.9226,"75","pca2"
0.881572222222222,0.0331522222222222,0.04,0.182222222222222,0.5631,0.605777777777778,59.48796,0.12908,3.35962,0.42124,0.91424,12.7454,22.94242,21.12626,3.05144,2.27478,3.10176,12.83298,17.97162,39.64118,"75","pca2"
0.867248888888889,0.0350288888888889,0.02,0.204444444444444,0.5979,0.575055555555556,58.63278,0.23602,4.04262,0.31108,0.83544,12.56994,23.37218,21.42898,2.36128,0.30242,1.50752,13.55174,17.90152,42.9465,"75","pca2"
0.883307777777778,0.0235722222222222,0.02,0.148888888888889,0.5977,0.619511111111111,60.59834,0.05012,2.2851,0.40154,0.9025,13.07708,22.68532,22.24608,0.67652,0.41372,2.09344,11.3486,18.80776,44.4139,"75","pca2"
0.883791111111111,0.0374511111111111,0.06,0.142222222222222,0.5793,0.615277777777778,59.6153,0.0859,3.15644,0.34026,0.87624,12.5206,23.40534,22.34338,3.46782,0.44486,1.00516,14.31262,15.3246,43.10154,"75","pca2"
0.872406111111111,0.0559338888888889,0.0866666666666667,0.168888888888889,0.539533333333333,0.575111111111111,59.2424,0.17916,2.90798,0.43712,0.96426,12.8001,23.469,23.29246,6.08692,2.19908,5.01518,12.05252,16.96564,34.38818,"75","pca2"
0.879172222222222,0.0233277777777778,0.04,0.164444444444444,0.5714,0.614455555555556,59.70384,0.11958,3.17198,0.38766,0.60202,13.15864,22.8563,25.07722,1.21408,1.67546,0.28746,10.07,18.34378,43.33192,"75","pca2"
0.877076666666667,0.0196433333333333,0.04,0.12,0.5786,0.6429,60.11574,0.10072,2.7083,0.35298,0.98718,12.81794,22.91714,21.81238,2.04024,0.55178,1.6428,13.63532,20.42372,39.89378,"75","pca2"
0.870138888888889,0.0438988888888888,0.08,0.202222222222222,0.5559,0.557277777777778,59.68328,0.18742,2.89722,0.45228,0.8778,12.91022,22.99176,23.62408,2.65822,1.46176,0.5904,13.46386,17.9132,40.28846,"75","pca2"
0.88117,0.03481,0.04,0.148888888888889,0.576,0.629511111111111,59.91688,0.09272,2.8902,0.44198,0.88666,12.76698,23.00458,25.82344,4.03242,1.43448,0.3402,11.89346,16.91486,39.56116,"75","pca2"
