"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio_2.contribution","bio_4.contribution","bio_5.contribution","bio_7.contribution","bio_13.contribution","bio_15.contribution","bio_18.contribution","bio_19.contribution","bio_2.permutation.importance","bio_4.permutation.importance","bio_5.permutation.importance","bio_7.permutation.importance","bio_13.permutation.importance","bio_15.permutation.importance","bio_18.permutation.importance","bio_19.permutation.importance","type","filter"
0.941830409356725,0.0330370760233918,0.0222222222222222,0.143859649122807,0.418477777777778,0.746240350877193,0.94196,0.44274,95.54558,0.60368,0.1829,1.17698,0.89034,0.21578,3.80272,0.04038,86.51682,2.00658,0.00916,6.75216,0.35718,0.515,"100","pca2"
0.939129532163743,0.026277134502924,0.0210526315789474,0.12046783625731,0.413447368421053,0.76473216374269,1.46834,0.70352,94.67238,0.521,0.13952,1.26918,0.84054,0.38548,4.55516,0.46126,86.52716,2.32594,0.01108,5.56394,0.30994,0.24554,"100","pca2"
0.940229239766082,0.0102463157894737,0.0111111111111111,0.14327485380117,0.405788888888889,0.74442514619883,1.24858,0.40536,95.16066,0.2462,0.41858,1.24292,0.94198,0.3357,2.65588,0.1115,88.93148,1.56512,0.03878,6.0818,0.35578,0.25958,"100","pca2"
0.943162426900585,0.0125231286549708,0.0105263157894737,0.142690058479532,0.400373684210526,0.745909941520468,1.01092,0.29226,95.20474,0.6585,0.19886,1.15632,1.08556,0.3928,3.24256,0.07536,88.18188,2.10306,0.1183,5.53464,0.30194,0.44224,"100","pca2"
0.940965789473684,0.0198257894736842,0.0111111111111111,0.142690058479532,0.419688888888889,0.744309941520468,1.50882,0.53836,95.2174,0.44154,0.19486,1.02128,0.78088,0.2968,3.86816,0,87.32236,1.90518,0.02658,6.2135,0.42002,0.2442,"100","pca2"
0.941770175438597,0.0217364912280701,0.0111111111111111,0.130994152046784,0.418488888888889,0.757805847953216,1.28244,0.25954,94.3998,1.26866,0.13726,1.47816,1.03988,0.1343,3.00488,0.10172,89.5914,1.72608,0,5.01478,0.27576,0.28534,"100","pca2"
0.938218128654971,0.026020350877193,0.0111111111111111,0.166081871345029,0.414888888888889,0.722418128654971,1.13986,0.4386,94.62408,1.36504,0.12546,1.22454,0.89858,0.18382,3.85344,0.03358,86.44752,2.32254,0.10482,6.42742,0.33864,0.47208,"100","pca2"
0.943302777777778,0.0240927777777778,0.0222222222222222,0.152631578947368,0.415177777777778,0.736268421052632,1.10684,0.46736,95.03642,0.62824,0.14332,1.42016,1.0754,0.12222,2.7153,0.02394,87.51966,2.01058,0.02964,7.18504,0.19414,0.32168,"100","pca2"
0.94249269005848,0.0165228654970761,0.0111111111111111,0.12046783625731,0.399288888888889,0.76903216374269,0.91024,0.47416,95.131,0.86624,0.09486,1.19646,1.11234,0.21472,2.51414,0.1632,88.15844,2.08084,0.02682,6.30782,0.26156,0.48718,"100","pca2"
0.940395906432749,0.0258240935672515,0.0105263157894737,0.164327485380117,0.413973684210526,0.723472514619883,1.73818,0.36892,94.52368,0.50776,0.31372,1.31774,0.89572,0.33428,5.35924,0.5771,86.87788,2.04454,0.12256,4.35728,0.3298,0.33158,"100","pca2"
0.93971432748538,0.0164387719298245,0.0111111111111111,0.143859649122807,0.407788888888889,0.741940350877193,1.22876,0.44268,95.09254,0.64818,0.14294,1.1553,1.156,0.13364,4.10378,0.34508,88.01978,1.65954,0.04816,5.13408,0.41842,0.27112,"100","pca2"
0.942460526315789,0.0173049707602339,0.0111111111111111,0.133333333333333,0.388588888888889,0.752966666666667,1.00486,0.41012,95.34482,0.6652,0.20914,1.06792,0.93146,0.36646,3.76284,0.11776,87.64644,2.14228,0.08182,5.5043,0.43312,0.31142,"100","pca2"
0.941820029239766,0.0146066374269006,0.0111111111111111,0.12046783625731,0.390788888888889,0.76433216374269,1.67916,0.37824,94.75332,0.3755,0.11176,1.27048,1.0842,0.34732,3.0249,0.33182,89.37578,1.34634,0.0379,5.20498,0.29774,0.38056,"100","pca2"
0.94033918128655,0.0187919298245614,0.0105263157894737,0.132748538011696,0.401173684210526,0.752551461988304,0.97998,0.379,95.24534,0.63912,0.56688,1.06558,0.80448,0.31964,2.82752,0.01698,86.17818,1.85944,0.04796,8.40378,0.2941,0.37206,"100","pca2"
0.940324269005848,0.023335730994152,0.0105263157894737,0.132163742690058,0.413073684210526,0.752236257309941,0.83666,0.41522,95.15906,0.76832,0.32878,1.1819,0.94162,0.36846,3.18896,0.06116,88.8228,1.69146,0.07636,5.46956,0.36016,0.32948,"100","pca2"
0.941445906432749,0.00763701754385966,0.0111111111111111,0.121052631578947,0.405388888888889,0.765347368421053,1.30156,0.53288,95.00524,0.54612,0.15788,1.15886,1.0838,0.21366,3.52324,0.06684,88.16548,1.66362,0.07954,5.70664,0.24454,0.55012,"100","pca2"
0.941397222222222,0.0219161111111111,0.0222222222222222,0.0994152046783626,0.417277777777778,0.788584795321637,1.44692,0.56772,94.99314,0.34692,0.27466,1.15828,0.91224,0.3001,2.84114,0.03636,88.10292,2.22406,0.03486,6.09772,0.38312,0.27986,"100","pca2"
0.940948245614035,0.0131717543859649,0.0105263157894737,0.164327485380117,0.394873684210526,0.722572514619883,0.86736,0.3708,95.55696,0.75494,0.09774,1.24162,0.8696,0.24092,3.33192,0.01644,85.88612,1.61382,0.02332,8.73214,0.29154,0.10474,"100","pca2"
0.943158771929825,0.0117921052631579,0.0111111111111111,0.14327485380117,0.388288888888889,0.74612514619883,0.87702,0.41598,95.34304,0.77542,0.08906,1.18958,0.90678,0.40314,2.0618,0.0134,89.91406,2.0255,0.04724,5.4278,0.34316,0.16708,"100","pca2"
0.940708187134503,0.0255126315789473,0.0111111111111111,0.164912280701754,0.402088888888889,0.720787719298246,0.92662,0.48222,94.99734,1.00952,0.22904,1.1228,0.92092,0.31154,2.96924,0.06294,89.99708,2.18678,0.09496,4.11366,0.32892,0.24642,"100","pca2"
0.939365789473684,0.0226080116959064,0.0111111111111111,0.153801169590643,0.403788888888889,0.731798830409357,1.04658,0.40616,94.60796,0.87008,0.34964,1.59042,1.00252,0.12658,4.56466,0.032,87.16874,2.24674,0.06494,5.34766,0.33854,0.23672,"100","pca2"
0.938374269005848,0.0216523976608187,0.0210526315789474,0.142690058479532,0.420947368421053,0.746209941520468,0.96938,0.33034,94.26288,1.48848,0.11154,1.36558,1.2829,0.18892,2.71816,0.03948,86.42944,2.27708,0.07938,7.54952,0.5898,0.31712,"100","pca2"
0.941036257309942,0.0223637426900585,0.0111111111111111,0.119298245614035,0.402188888888889,0.767001754385965,1.25456,0.46194,94.8885,0.57328,0.26142,1.21888,1.06632,0.27502,3.30748,0,86.76016,1.0343,0.04632,7.96966,0.34016,0.54186,"100","pca2"
0.943507748538012,0.013558918128655,0.0111111111111111,0.121052631578947,0.398488888888889,0.768247368421053,1.01894,0.4102,94.8829,0.9786,0.10274,1.3993,0.9204,0.2869,2.69718,0.10572,90.13066,1.8468,0.01488,4.86472,0.29316,0.04694,"100","pca2"
0.940179824561403,0.0189135087719298,0.0111111111111111,0.153216374269006,0.397088888888889,0.735583625730994,1.2206,0.57372,94.7913,0.67134,0.20396,1.26352,1.11086,0.1647,2.76886,0.22412,88.8919,1.5893,0.11674,5.94204,0.17834,0.28874,"100","pca2"
0.942038596491228,0.0239385964912281,0.0111111111111111,0.132748538011696,0.415288888888889,0.755651461988304,1.32706,0.58874,94.96656,0.41904,0.22466,1.11308,1.06998,0.29086,3.34096,0.1195,88.31008,1.48678,0.01588,6.13756,0.21712,0.37218,"100","pca2"
0.940781871345029,0.0171381286549708,0.0105263157894737,0.12046783625731,0.393873684210526,0.76563216374269,1.57224,0.46154,94.37962,0.96178,0.30484,1.18718,0.85994,0.27284,3.37626,0.06132,90.2494,1.6456,0.10284,4.03934,0.28254,0.24268,"100","pca2"
0.942359064327485,0.00792538011695909,0.0105263157894737,0.143859649122807,0.390173684210526,0.744440350877193,0.9837,0.42254,95.47384,0.43678,0.14514,1.16478,1.0313,0.34192,2.16868,0.01992,89.49762,1.66062,0,6.02606,0.42596,0.20114,"100","pca2"
0.940387280701754,0.0116038304093568,0.0105263157894737,0.132163742690058,0.402873684210526,0.754236257309941,1.47038,0.54066,94.80302,0.52638,0.23974,1.08682,0.962,0.37094,3.01312,0.2963,88.0809,1.56474,0.18042,6.0438,0.44302,0.37762,"100","pca2"
0.942698830409357,0.0143343859649123,0.0111111111111111,0.109941520467836,0.398088888888889,0.776658479532164,1.4381,0.473,94.8543,0.65614,0.12182,1.02264,1.10346,0.3305,3.13672,0.07746,88.07238,1.8297,0.11752,6.08764,0.3319,0.34666,"100","pca2"
0.942295321637427,0.022093567251462,0.0111111111111111,0.131578947368421,0.409288888888889,0.758421052631579,1.03,0.42044,94.89012,0.9926,0.17038,1.19702,1.07956,0.21986,2.86818,0.1518,88.71392,1.95226,0.05668,5.75762,0.2396,0.25998,"100","pca2"
0.941007456140351,0.0163107894736842,0.0111111111111111,0.142690058479532,0.392588888888889,0.743509941520468,2.03072,0.4764,94.45778,0.36548,0.12768,1.30152,0.94884,0.29162,2.5826,0.05476,89.52694,1.77602,0.0518,5.11506,0.41868,0.47418,"100","pca2"
0.941110233918129,0.0123902339181286,0.0111111111111111,0.153801169590643,0.408888888888889,0.735398830409357,1.27296,0.67932,94.8023,0.44552,0.21734,1.1911,1.10192,0.28954,3.13368,0.58846,89.1375,1.69538,0.42386,4.49352,0.28426,0.2433,"100","pca2"
0.941924269005848,0.0182176023391813,0.0111111111111111,0.144444444444444,0.403688888888889,0.740955555555556,1.31566,0.45868,95.00186,0.40688,0.15598,1.3693,0.93184,0.35978,2.45924,0.34626,89.6317,1.56446,0.00552,5.2602,0.3402,0.39244,"100","pca2"
0.941416959064327,0.0129297076023392,0.0111111111111111,0.108771929824561,0.385188888888889,0.776928070175439,0.99192,0.71582,94.95128,0.58304,0.2472,1.27156,0.881,0.35822,2.8409,0.2743,87.66364,1.67804,0.03408,6.93228,0.35884,0.218,"100","pca2"
0.941669298245614,0.0128640350877193,0.0111111111111111,0.152631578947368,0.400288888888889,0.738168421052632,0.99338,0.51874,95.20566,0.54214,0.28878,1.13058,1.01038,0.31036,2.598,0.3182,87.99434,1.45376,0.0041,7.22974,0.21842,0.1835,"100","pca2"
0.94094298245614,0.0129059064327485,0.0111111111111111,0.142105263157895,0.394288888888889,0.745494736842105,0.72772,0.51952,95.24164,0.82392,0.1649,1.32216,0.98776,0.21236,2.65362,0.0077,90.19536,1.43246,0.0883,5.05516,0.22048,0.34692,"100","pca2"
0.94179985380117,0.016364298245614,0.0222222222222222,0.121052631578947,0.421177777777778,0.765247368421053,0.92644,0.35398,95.44884,0.53552,0.30748,1.15088,0.93388,0.34298,3.65346,0.00084,85.92556,2.09454,0.06184,7.68514,0.23814,0.34048,"100","pca2"
