"","name","decimalLongitude","decimalLatitude","stateProvince","issues","geodeticDatum","country","locality","catalogNumber","institutionCode","recordNumber","county","datasetName","infraspecificEpithet"
"478","Lophuromys woosnami",29.9813,0.3505,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"482","Lophuromys woosnami",29.9831,0.3586,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"494","Lophuromys woosnami",29.9948,0.5602,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"495","Lophuromys woosnami",29.9876,0.5638,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"496","Lophuromys woosnami",29.9957,0.5593,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"500","Lophuromys woosnami",29.9894,0.5629,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"502","Lophuromys woosnami",29.9903,0.5629,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"504","Lophuromys woosnami",29.9903,0.5647,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"507","Lophuromys woosnami",29.9867,0.5584,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"510","Lophuromys woosnami",29.984,0.5656,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"532","Lophuromys woosnami",29.66667,-1,"Kigezi","cdround,gass84","WGS84","Uganda","Ruhizha, Bwindi-Impenetrable National Park","162421","FMNH","PL-4915","Rubanda",NA,NA
"533","Lophuromys woosnami",29.59722,-3.93889,"Bururi Prov","cdround,gass84","WGS84","Burundi","Bururi Forest Res, Ruhinga Hill","156015","FMNH","26","Bururi Commune",NA,NA
"550","Lophuromys woosnami",30.3629,-0.2218,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"551","Lophuromys woosnami",30.3557,-0.2074,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"552","Lophuromys woosnami",30.3485,-0.2164,NA,"cudc","WGS84","Uganda",NA,NA,NA,NA,NA,NA,NA
"553","Lophuromys woosnami",29.416599,-2.8333,"Cibitoke Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Ndora Zone, Kwogofe Colline","148608","FMNH","793","Bukinanyana Commune",NA,NA
"587","Lophuromys woosnami",29.5,-2.95,"Kayanza Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Gitenge R, marais","148644","FMNH","861","Muruta Commune",NA,NA
"600","Lophuromys woosnami",29.5833,-3.9166,"Bubanza Prov","cdround,gass84","WGS84","Burundi","Bururi Forest Res, Nyagatarugwa R Valley","148576","FMNH","919","Bururi Commune",NA,NA
"615","Lophuromys woosnami",29.549999,-3.2,"Muramuya Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Nyamugari Colline, 2.3 km N, 1.9 km W Teza, Abris Nyamugari","148657","FMNH","131459","Bukeye Commune",NA,NA
"616","Lophuromys woosnami",29.5333,-3.2833,"Muramuya Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Gashanga Colline, Bugarama, 4 km N","148656","FMNH","597","Muramuya Commune",NA,NA
"624","Lophuromys woosnami",29.983299,0.3666,"Western","cdround,gass84","WGS84","Uganda","Rwenzori Mts, Mubuku R, R bank, below confl Bujuku R, Nyabitaba Hut","144892","FMNH","JCK-1870","Kasese Dist",NA,NA
"625","Lophuromys woosnami",29.9666,0.35,"Western","cdround,gass84","WGS84","Uganda","Rwenzori Mts, Lake Mahoma, periphery of","144899","FMNH","JCK-1994","Kasese Dist",NA,NA
"627","Lophuromys woosnami",30,0.35,"Western","gass84","WGS84","Uganda","Rwenzori Mts, Mubuku R, R bank, abv confl Kyoha R","144840","FMNH","JCK-1836","Kasese Dist",NA,NA
"631","Lophuromys woosnami",30.0169,0.3465,NA,"gass84","WGS84","Uganda","Rwenzori Mountains NP","101253","NBDB",NA,NA,NA,NA
"634","Lophuromys woosnami",29.9989,0.4004,NA,"gass84","WGS84","Uganda","Rwenzori Mountains NP","101256","NBDB",NA,NA,NA,NA
"640","Lophuromys woosnami",30,0.3666,"Western","gass84","WGS84","Uganda","Rwenzori Mts, Mubuku R, R bank, abv confl Mahoma R","144865","FMNH","JCK-2227","Kasese Dist",NA,NA
"642","Lophuromys woosnami",29.9719,0.3825,NA,"gass84","WGS84","Uganda","Rwenzori Mountains NP","101257","NBDB",NA,NA,NA,NA
"643","Lophuromys woosnami",29.4,-2.8666,"Cibitoke Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Ndora Zone, Giserama Col, Gite; 1.1 km N, 0.8 km E Kirumura","149171","FMNH","JCK-2541","Bukinanyana Commune",NA,NA
"647","Lophuromys woosnami",29.4,-2.85,"Cibitoke Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Ndora Zone, Giserama Col, Gatare Stream; 1.9 km N, 1.1 km E Kiru","149166","FMNH","JCK-2957","Bukinanyana Commune",NA,NA
"661","Lophuromys woosnami",29.483299,-2.9333,"Bubanza Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Ntamba Zone, Kubutare Colline, Ruhondo","148558","FMNH","114","Musigati Commune",NA,NA
"750","Lophuromys woosnami",29.5166,-3,"Kayanza Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Gitenge Valley","148631","FMNH","305","Matongo Commune",NA,NA
"751","Lophuromys woosnami",29.5333,-3,"Kayanza Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Abris Kivuso","148621","FMNH","317","Matongo Commune",NA,NA
"768","Lophuromys woosnami",29.5333,-3.1666,"Bubanza Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Kabanga Colline, Nyabikona R","148560","FMNH","410","Rugazi Commune",NA,NA
"779","Lophuromys woosnami",29.549999,-3.1833,"Muramuya Prov","cdround,gass84","WGS84","Burundi","Kibira Nat Pk, Nyamugari Colline, Nyabihondo Valley","148660","FMNH","521","Bukeye Commune",NA,NA
"794","Lophuromys woosnami",29.9719,0.3645,NA,"gass84","WGS84","Uganda","Rwenzori Mountaints NP","101251","NBDB",NA,NA,NA,NA
"849","Lophuromys woosnami",28.7833,-2.2333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Tshibati","7726 RMCA 97.010-M-0492","RMCA",NA,NA,NA,NA
"923","Lophuromys woosnami",29.2,-2.4667,NA,"gass84,iddatunl","WGS84","Rwanda","Uwinka","44838 RMCA 96.038-M-0879","RMCA",NA,NA,NA,NA
"929","Lophuromys woosnami",29.2,-2.4833,NA,"gass84","WGS84","Rwanda","Uwinka","82780","RMCA",NA,NA,NA,NA
"960","Lophuromys woosnami",29.5,-1.45,NA,"gass84,iddatunl","WGS84","Rwanda","Visoke","44865 RMCA 96.038-M-0906","RMCA",NA,NA,NA,NA
"962","Lophuromys woosnami",29.4833,-1.4667,NA,"gass84,iddatunl","WGS84","Rwanda","Karisoke","46642 RMCA 96.038-M-2683","RMCA",NA,NA,NA,NA
"964","Lophuromys woosnami",29.6667,-1.4,NA,"gass84,iddatunl","WGS84","Rwanda","Gahinga i","44926 RMCA 96.038-M-0967","RMCA",NA,NA,NA,NA
"975","Lophuromys woosnami",29.65,-1.4333,NA,"gass84,iddatunl","WGS84","Rwanda","Gasiza","44927 RMCA 96.038-M-0968","RMCA",NA,NA,NA,NA
"1038","Lophuromys woosnami",29.35,-1.8,NA,"gass84,iddatunl","WGS84","Rwanda","Kayove","44932 RMCA 96.038-M-0973","RMCA",NA,NA,NA,NA
"1048","Lophuromys woosnami",29.1667,-2.4167,NA,"gass84,iddatunl","WGS84","Rwanda","Routabansougera","44909 RMCA 96.038-M-0950","RMCA",NA,NA,NA,NA
"1095","Lophuromys woosnami",29.2167,-2.5,NA,"gass84,iddatunl","WGS84","Rwanda","Pindura","44810 RMCA 96.038-M-0851","RMCA",NA,NA,NA,NA
"1097","Lophuromys woosnami",29.3667,-1.65,NA,"gass84,iddatunl","WGS84","Rwanda","Mutura","44821 RMCA 96.038-M-0862","RMCA",NA,NA,NA,NA
"1101","Lophuromys woosnami",29.4333,-2.5167,NA,"gass84,iddatunl","WGS84","Rwanda","Kitabi","44822 RMCA 96.038-M-0863","RMCA",NA,NA,NA,NA
"1112","Lophuromys woosnami",29.5667,-3.7,NA,"gass84,iddatunl","WGS84","Burundi","Tora","65276 RMCA 97.080-M-0081","RMCA",NA,NA,NA,NA
"1117","Lophuromys woosnami",29.833,-1.3,NA,"gass84","WGS84","Uganda",NA,"M.29810","AM",NA,NA,NA,NA
